record_id,title,authors,source,year,doi_or_url,database
R061,Docker Container Networking Based Apache Storm and Flink Benchmark Test,T. Liu; Z. Yang; Y. Sun,2021 22nd Asia-Pacific Network Operations and Management Symposium (APNOMS),2021,10.23919/APNOMS52696.2021.9562644,IEEE
R062,Realization of Data Analytics Projects in Manufacturing Using a Microservice-Based Approach,S. Höhr; T. Tasci; A. Verl,2019 IEEE International Conference on Mechatronics (ICM),2019,10.1109/ICMECH.2019.8722926,IEEE
R063,MicroRec: Leveraging Large Language Models for Microservice Recommendation,A. S. Alsayed; H. Khanh Dam; C. Nguyen,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),2024,,IEEE
R064,Lessons from Research to Practice on Writing Better Quality Puppet Scripts,A. Rahman; T. Sharma,"2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",2022,10.1109/SANER53432.2022.00019,IEEE
R065,Does Your Configuration Code Smell?,T. Sharma; M. Fragkoulis; D. Spinellis,2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR),2016,,IEEE
R066,Stateful Depletion and Scheduling of Containers on Cloud Nodes for Efficient Resource Usage,A. Amiri; U. Zdun; K. Plakidas,"2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)",2022,10.1109/QRS57517.2022.00056,IEEE
R067,Assessing Network Infrastructure-as-Code Security using Open Source Software Analysis Techniques Applied to BGP/BIRD,W. Almuhtadi; W. Fenwick; L. Henley-Vachon; P. Mitchell,2022 IEEE International Conference on Consumer Electronics (ICCE),2022,10.1109/ICCE53296.2022.9730211,IEEE
R068,Characterizing Defective Configuration Scripts Used for Continuous Deployment,A. Rahman; L. Williams,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)",2018,10.1109/ICST.2018.00014,IEEE
R069,A Graph-Based Dataset of Commit History of Real-World Android apps,F. -X. Geiger; I. Malavolta; L. Pascarella; F. Palomba; D. Di Nucci; A. Bacchelli,2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR),2018,,IEEE
R070,ReCover: a Curated Dataset for Regression Testing Research,F. Altiero; A. Corazza; S. Di Martino; A. Peron; L. L. L. Starace,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),2022,10.1145/3524842.3528490,IEEE
R071,An Empirical Study on Program Failures of Deep Learning Jobs,R. Zhang; W. Xiao; H. Zhang; Y. Liu; H. Lin; M. Yang,2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE),2020,10.1145/3377811.3380362,IEEE
R072,Automated Application Deployment on Multi-Access Edge Computing: A Survey,Á. Santos; J. Bernardino; N. Correia,IEEE Access,2023,10.1109/ACCESS.2023.3307023,IEEE
R073,Revisiting Dockerfiles in Open Source Software Over Time,K. Eng; A. Hindle,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),2021,10.1109/MSR52588.2021.00057,IEEE
R074,Handling Duplicates in Dockerfiles Families: Learning from Experts,M. A. Oumaziz; J. -R. Falleri; X. Blanc; T. F. Bissyandé; J. Klein,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME),2019,10.1109/ICSME.2019.00086,IEEE
R075,"Amazon Web Services in Action, Third Edition: An in-depth guide to AWS",A. Wittig; M. Wittig,"Amazon Web Services in Action, Third Edition: An in-depth guide to AWS",2023,,IEEE
R076,Actionsremaker: Reproducing GITHUB Actions,H. -N. Zhu; K. Z. Guan; R. M. Furth; C. Rubio-González,2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2023,10.1109/ICSE-Companion58688.2023.00015,IEEE
R077,An Empirical Study of Container Image Configurations and Their Impact on Start Times,M. Straesser; A. Bauer; R. Leppich; N. Herbst; K. Chard; I. Foster; S. Kounev,"2023 IEEE/ACM 23rd International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",2023,10.1109/CCGrid57682.2023.00019,IEEE
R078,EMTk - The Emotion Mining Toolkit,F. Calefato; F. Lanubile; N. Novielli; L. Quaranta,2019 IEEE/ACM 4th International Workshop on Emotion Awareness in Software Engineering (SEmotion),2019,10.1109/SEmotion.2019.00014,IEEE
R079,Data Mining Methods and Techniques for Fault Detection and Predictive Maintenance in Housing and Utility Infrastructure,D. Kovalev; I. Shanin; S. Stupnikov; V. Zakharov,2018 International Conference on Engineering Technologies and Computer Science (EnT),2018,10.1109/EnT.2018.00016,IEEE
R080,Empirical Study of Restarted and Flaky Builds on Travis CI,T. Durieux; C. Le Goues; M. Hilton; R. Abreu,2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR),2020,10.1145/3379597.3387460,IEEE
R081,Candela: A Cloud Platform for Copernicus Earth Observation Data Analytics,J. -F. o. Rolland; F. Castel; A. Haugommard; M. Aubrun; W. Yao; Corneliu; O. Dumitru; M. Datcu; M. Bylicki; B. -H. Tran; N. Aussenac-Gillles; C. Comparot; C. Trojahn,IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,2020,10.1109/IGARSS39084.2020.9323966,IEEE
R082,Boidae: Your Personal Mining Platform,B. Sigurdson; S. W. Flint; R. Dyer,2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2024,10.1145/3639478.3640026,IEEE
R083,Prevention Against DDoS,K. Venkatesh; B. Subashini; P. V. Kumar,2022 International Conference on Computer Communication and Informatics (ICCCI),2022,10.1109/ICCCI54379.2022.9740747,IEEE
R084,DockerCleaner: Automatic Repair of Security Smells in Dockerfiles,Q. -C. Bui; M. Laukötter; R. Scandariato,2023 IEEE International Conference on Software Maintenance and Evolution (ICSME),2023,10.1109/ICSME58846.2023.00026,IEEE
R085,"Dockerfile Changes in Practice: A Large-Scale Empirical Study of 4,110 Projects on GitHub",Y. Wu; Y. Zhang; T. Wang; H. Wang,2020 27th Asia-Pacific Software Engineering Conference (APSEC),2020,10.1109/APSEC51365.2020.00033,IEEE
R086,Deep Learning-Based Cryptojacking Detection in Cloud Containerized Environments,A. Hussain; J. Flores; P. Papadimitratos,2025 IEEE Middle East Conference on Communications and Networking (MECOM),2025,10.1109/MECOM67453.2025.11439580,IEEE
R087,On Unifying the Compliance Management of Applications Based on IaC Automation,G. Falazi; U. Breitenbücher; F. Leymann; M. Stötzner; E. Ntentos; U. Zdun; M. Becker; E. Heldwein,2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C),2022,10.1109/ICSA-C54293.2022.00050,IEEE
R088,Crashing Simulated Planes is Cheap: Can Simulation Detect Robotics Bugs Early?,C. S. Timperley; A. Afzal; D. S. Katz; J. M. Hernandez; C. Le Goues,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)",2018,10.1109/ICST.2018.00040,IEEE
R089,Modern Release Engineering in a Nutshell -- Why Researchers Should Care,B. Adams; S. McIntosh,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",2016,10.1109/SANER.2016.108,IEEE
R090,An Empirical Study on Power Consumption of Decentralised Identity Management Systems,M. Y. Chan; S. L. Lau; J. Porras,2023 IEEE International Conference on Computing (ICOCO),2023,10.1109/ICOCO59262.2023.10398139,IEEE
R091,Application of Machine Learning for Operational Forecasting and Compliance Control in Underground Mining,W. Valentin; C. Valverde; I. Bautista,2025 12th International Conference on Soft Computing & Machine Intelligence (ISCMI),2025,10.1109/ISCMI67495.2025.11358442,IEEE
R092,Exploring Heterogeneous Open Multi-Agent Systems on Cloud Using a Docker-Based Architecture*,G. L. de Lima; M. S. de Aguiar,2023 IEEE Symposium Series on Computational Intelligence (SSCI),2023,10.1109/SSCI52147.2023.10371883,IEEE
R093,Well Begun is Half Done: An Empirical Study of Exploitability & Impact of Base-Image Vulnerabilities,M. U. Haque; M. A. Babar,"2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",2022,10.1109/SANER53432.2022.00124,IEEE
R094,An Empirical Study of Utilization of Imperative Modules in Ansible,S. Kokuryo; M. Kondo; O. Mizuno,"2020 IEEE 20th International Conference on Software Quality, Reliability and Security (QRS)",2020,10.1109/QRS51102.2020.00063,IEEE
R095,Building Resilient CICD Pipelines: A DevOps Security-First Framework,R. Ashtagi; C. Belani; P. Bhalerao; Y. Bhalerao; A. Chawle,"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",2025,10.1109/ICCCIT62592.2025.10927871,IEEE
R096,SecLLM: Enhancing Security Smell Detection in IaC With Large Language Models,G. D. Vito; F. Palomba; F. Ferrucci,IEEE Access,2025,10.1109/ACCESS.2025.3637505,IEEE
R097,BIIGLE2Go—A scalable image annotation system for easy deployment on cruises,M. Zurowietz; D. Langenkämper; T. W. Nattkemper,OCEANS 2019 - Marseille,2019,10.1109/OCEANSE.2019.8867417,IEEE
R098,An Accurate Financial Aid System for University Students Built on a Cloud Platform,C. Qian,2022 International Conference on Knowledge Engineering and Communication Systems (ICKES),2022,10.1109/ICKECS56523.2022.10059880,IEEE
R099,A Baseline Framework for the Qualification of LTL Specification Miners,S. Germiniani; D. Nicoletti; G. Pravadelli,"2025 Design, Automation & Test in Europe Conference (DATE)",2025,10.23919/DATE64628.2025.10992993,IEEE
R100,Construction of Artificial Intelligence Decision Systems for Complex Strategic Scenarios,J. Wang; Y. Zhao; X. Wu; H. Yu,2026 5th International Symposium on Computer Applications and Information Technology (ISCAIT),2026,10.1109/ISCAIT69154.2026.11477415,IEEE
R101,Smells of Misunderstanding in File Path Patterns within Dockerignore,T. Nakamaru,2024 31st Asia-Pacific Software Engineering Conference (APSEC),2024,10.1109/APSEC65559.2024.00078,IEEE
R102,Evolutionary Feature Dependencies: Analyzing Feature Co-Changes in C Systems,S. Schulze; P. Engelke; J. Krüger,2023 IEEE 23rd International Working Conference on Source Code Analysis and Manipulation (SCAM),2023,10.1109/SCAM59687.2023.00019,IEEE
R103,An Empirical Study on Low GPU Utilization of Deep Learning Jobs,Y. Gao; Y. He; X. Li; B. Zhao; H. Lin; Y. Liang; J. Zhong; H. Zhang; J. Wang; Y. Zeng; K. Gui; J. Tong; M. Yang,2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),2024,10.1145/3597503.3639232,IEEE
R104,An Empirical Study on Quality Issues of Deep Learning Platform,Y. Gao; X. Shi; H. Lin; H. Zhang; H. Wu; R. Li; M. Yang,2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),2023,10.1109/ICSE-SEIP58684.2023.00052,IEEE
R105,On the Value of Sequence-Based System Call Filtering for Container Security,S. Song; S. Suneja; M. V. Le; B. Tak,2023 IEEE 16th International Conference on Cloud Computing (CLOUD),2023,10.1109/CLOUD60044.2023.00043,IEEE
R106,An Empirical Study of Docker Vulnerabilities and of Static Code Analysis Applicability,A. Duarte; N. Antunes,2018 Eighth Latin-American Symposium on Dependable Computing (LADC),2018,10.1109/LADC.2018.00013,IEEE
R107,Robbery on DevOps: Understanding and Mitigating Illicit Cryptomining on Continuous Integration Service Platforms,Z. Li; W. Liu; H. Chen; X. Wang; X. Liao; L. Xing; M. Zha; H. Jin; D. Zou,2022 IEEE Symposium on Security and Privacy (SP),2022,10.1109/SP46214.2022.9833803,IEEE
R108,Analysis and Comparison of Dockerized and Standalone Apache Spark Configurations for Efficient Distributed Data Processing,A. P. Ndigande; I. Ari; S. Ozer,2024 Innovations in Intelligent Systems and Applications Conference (ASYU),2024,10.1109/ASYU62119.2024.10757047,IEEE
R109,How do Developers Talk About GitHub Actions? Evidence from Online Software Development Community,Y. Zhang; Y. Wu; T. Chen; T. Wang; H. Liu; H. Wang,2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),2024,10.1145/3597503.3623327,IEEE
R110,CloudBot: Autonomous End-to-End Cloud Deployment from Code to Infrastructure,O. Ódùnsī; A. Mohan; S. Al Mahmud Mostafa; J. Wang,2025 IEEE International Conference on Big Data (BigData),2025,10.1109/BigData66926.2025.11402281,IEEE
R111,iAnalysis V1.0: An Interactive Analysis Service System,Z. Meng; X. Wang; L. Ma; Y. Zhou,2021 IEEE 13th International Conference on Computer Research and Development (ICCRD),2021,10.1109/ICCRD51685.2021.9386710,IEEE
R112,Analyzing News Clustering with K-Means Algorithm: A Segmentation Perspective,F. Hamami; I. A. Dahlan,2024 4th International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),2024,10.1109/ICE3IS62977.2024.10775603,IEEE
R113,Demo abstract: Towards IoT service deployments on edge community network microclouds,A. M. Khan; F. Freitag; V. Vlassov; P. H. Ha,IEEE INFOCOM 2018 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),2018,10.1109/INFCOMW.2018.8406840,IEEE
R114,BugSwarm: Mining and Continuously Growing a Dataset of Reproducible Failures and Fixes,D. A. Tomassi; N. Dmeiri; Y. Wang; A. Bhowmick; Y. -C. Liu; P. T. Devanbu; B. Vasilescu; C. Rubio-González,2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE),2019,10.1109/ICSE.2019.00048,IEEE
R115,"DIVE: Make Online Learning Diversified, Interactive, Versatile, and Engaging",C. Chan; A. Kozhin; Q. Liang; G. Salter; R. Tang; C. Ye; C. Zhao,"2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)",2022,10.1109/TALE54877.2022.00085,IEEE
R116,Mantus: Putting Aspects to Work for Flexible Multi-Cloud Deployment,A. Palesandro; M. Lacoste; N. Bennani; C. Ghedira-Guegan; D. Bourge,2017 IEEE 10th International Conference on Cloud Computing (CLOUD),2017,10.1109/CLOUD.2017.88,IEEE
R117,Int2IT: An Intent-based TOSCA IT Infrastructure Management Platform,M. D. Mascarenhas; R. S. Cruz,2022 17th Iberian Conference on Information Systems and Technologies (CISTI),2022,10.23919/CISTI54924.2022.9820004,IEEE
R118,DockerizeMe: Automatic Inference of Environment Dependencies for Python Code Snippets,E. Horton; C. Parnin,2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE),2019,10.1109/ICSE.2019.00047,IEEE
